/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:1: [PIN-YML-001] Document must start with: YAML front matter delimited by `---
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:1: [PIN-YML-002] Required block 'prose_input:' not found in document
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:17: [PIN-YML-003] Required YAML field 'schema_version' not found
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:17: [PIN-YML-003] Required YAML field 'project_name' not found
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:17: [PIN-YML-003] Required YAML field 'runner' not found
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:17: [PIN-YML-003] Required YAML field 'runner_prefix' not found
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:17: [PIN-YML-003] Required YAML field 'search_tool' not found
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:3: [PIN-YML-006] Invalid value 'DESIGN'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:25: [PIN-YML-006] Invalid value 'We'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:26: [PIN-YML-006] Invalid value 'Current'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:27: [PIN-YML-006] Invalid value 'Parser'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:28: [PIN-YML-006] Invalid value 'Pydantic'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:50: [PIN-YML-006] Invalid value 'This'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:61: [PIN-YML-006] Invalid value 'field'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:63: [PIN-YML-006] Invalid value 'field'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:102: [PIN-YML-006] Invalid value 'RESOLVED'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:103: [PIN-YML-006] Invalid value 'RESOLVED'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:104: [PIN-YML-006] Invalid value 'Update'. Must be one of: uv, npm, cargo, go, poetry, pipenv
