"relative_key (no ext, '.baseline' normalized away in JSON)",has_MD,has_JSON
01_edge_cases/00_no_headings,True,True
01_edge_cases/01_hash_in_code_fence,True,True
01_edge_cases/02_indented_four_spaces,True,True
01_edge_cases/03_indented_tab,True,True
01_edge_cases/04_escaped_hash,True,True
01_edge_cases/05_missing_space_after_hash,True,True
01_edge_cases/06_nbsp_after_hash,True,True
01_edge_cases/07_fullwidth_hash,True,True
01_edge_cases/08_hash_in_table_cell,True,True
01_edge_cases/09_hash_in_inline_code,True,True
01_edge_cases/10_hash_mid_paragraph,True,True
01_edge_cases/11_mixed_legit_and_traps,True,True
01_edge_cases/12_heading_in_blockquote,True,True
01_edge_cases/13_heading_in_list_item,True,True
01_edge_cases/14_setext_valid,True,True
01_edge_cases/15_setext_table_conflict,True,True
01_edge_cases/16_unclosed_fence_followed_by_hashes,True,True
01_edge_cases/17_three_space_indent_valid,True,True
01_edge_cases/18_four_space_indent_invalid,True,True
01_edge_cases/19_trailing_hashes_legit,True,True
01_edge_cases/20_heading_is_only_link,True,True
01_edge_cases/21_whitespace_only_after_hash,True,True
01_edge_cases/22_html_h1_not_markdown,True,True
01_edge_cases/23_yaml_block_with_hashes,True,True
01_edge_cases/24_hash_not_at_bol,True,True
01_edge_cases/25_mixed_nbsp_and_spaces,True,True
01_edge_cases/26_setext_one_dash_valid,True,True
01_edge_cases/27_heading_then_continuation_text,True,True
01_edge_cases/28_too_many_hashes,True,True
01_edge_cases/29_list_text_hash_at_start_of_item,True,True
01_edge_cases/admonitions_01,True,True
01_edge_cases/admonitions_02,True,True
01_edge_cases/admonitions_03,True,True
01_edge_cases/admonitions_04,True,True
01_edge_cases/admonitions_05,True,True
01_edge_cases/clean_01,True,True
01_edge_cases/clean_02,True,True
01_edge_cases/clean_03,True,True
01_edge_cases/clean_04,True,True
01_edge_cases/clean_05,True,True
01_edge_cases/code_01,True,True
01_edge_cases/code_02,True,True
01_edge_cases/code_03,True,True
01_edge_cases/code_04,True,True
01_edge_cases/code_05,True,True
01_edge_cases/fake_01_single_line_inline,True,True
01_edge_cases/fake_02_not_at_bof,True,True
01_edge_cases/fake_03_inside_code_fence,True,True
01_edge_cases/fake_04_horizontal_rule,True,True
01_edge_cases/fake_05_setext_underline,True,True
01_edge_cases/fake_06_unterminated,True,True
01_edge_cases/fake_07_wrong_closing_marker,True,True
01_edge_cases/fake_08_wrong_opening_marker,True,True
01_edge_cases/fake_09_trailing_spaces,True,True
01_edge_cases/fake_10_tab_after_fence,True,True
01_edge_cases/fake_11_toml_frontmatter,True,True
01_edge_cases/fake_12_json_frontmatter,True,True
01_edge_cases/footnotes_01,True,True
01_edge_cases/footnotes_02,True,True
01_edge_cases/footnotes_03,True,True
01_edge_cases/footnotes_04,True,True
01_edge_cases/footnotes_05,True,True
01_edge_cases/frontmatter_01,True,True
01_edge_cases/frontmatter_02,True,True
01_edge_cases/frontmatter_03,True,True
01_edge_cases/frontmatter_04,True,True
01_edge_cases/frontmatter_05,True,True
01_edge_cases/html_01,True,True
01_edge_cases/html_02,True,True
01_edge_cases/html_03,True,True
01_edge_cases/html_04,True,True
01_edge_cases/html_05,True,True
01_edge_cases/images_01,True,True
01_edge_cases/images_02,True,True
01_edge_cases/images_03,True,True
01_edge_cases/images_04,True,True
01_edge_cases/images_05,True,True
01_edge_cases/linklab_01,True,True
01_edge_cases/linklab_02,True,True
01_edge_cases/linklab_03,True,True
01_edge_cases/linklab_04,True,True
01_edge_cases/linklab_05,True,True
01_edge_cases/math_01,True,True
01_edge_cases/math_02,True,True
01_edge_cases/math_03,True,True
01_edge_cases/math_04,True,True
01_edge_cases/math_05,True,True
01_edge_cases/quotes_01,True,True
01_edge_cases/quotes_02,True,True
01_edge_cases/quotes_03,True,True
01_edge_cases/quotes_04,True,True
01_edge_cases/quotes_05,True,True
01_edge_cases/tables_01,True,True
01_edge_cases/tables_02,True,True
01_edge_cases/tables_03,True,True
01_edge_cases/tables_04,True,True
01_edge_cases/tables_05,True,True
01_edge_cases/tasks_01,True,True
01_edge_cases/tasks_02,True,True
01_edge_cases/tasks_03,True,True
01_edge_cases/tasks_04,True,True
01_edge_cases/tasks_05,True,True
01_edge_cases/valid_01_simple,True,True
01_edge_cases/valid_02_list_numbers,True,True
01_edge_cases/valid_03_comments,True,True
01_edge_cases/valid_04_block_scalar_literal,True,True
01_edge_cases/valid_05_block_scalar_folded,True,True
01_edge_cases/valid_06_nested_mapping,True,True
01_edge_cases/valid_07_ellipsis_close,True,True
01_edge_cases/valid_08_anchors_aliases,True,True
01_edge_cases/valid_09_type_tag_str,True,True
01_edge_cases/valid_10_bom,True,True
01_edge_cases/valid_11_multiline_list,True,True
01_edge_cases/valid_12_dates,True,True
02_stress_pandoc/pandoc_features__case_01,True,True
02_stress_pandoc/pandoc_features__case_02,True,True
02_stress_pandoc/pandoc_features__case_03,True,True
02_stress_pandoc/pandoc_features__case_04,True,True
02_stress_pandoc/pandoc_features__case_05,True,True
02_stress_pandoc/pandoc_features__case_06,True,True
02_stress_pandoc/pandoc_features__case_07,True,True
02_stress_pandoc/pandoc_features__case_08,True,True
02_stress_pandoc/pandoc_features__case_09,True,True
02_stress_pandoc/pandoc_features__case_10,True,True
02_stress_pandoc/pandoc_features__case_11,True,True
02_stress_pandoc/pandoc_features__case_12,True,True
02_stress_pandoc/pandoc_features__case_13,True,True
02_stress_pandoc/pandoc_features__case_14,True,True
02_stress_pandoc/pandoc_features__case_15,True,True
02_stress_pandoc/pandoc_features__case_16,True,True
02_stress_pandoc/pandoc_features__case_17,True,True
02_stress_pandoc/pandoc_features__case_18,True,True
02_stress_pandoc/pandoc_features__case_19,True,True
02_stress_pandoc/pandoc_features__case_20,True,True
02_stress_pandoc/pandoc_features__case_21,True,True
02_stress_pandoc/pandoc_features__case_22,True,True
02_stress_pandoc/pandoc_features__case_23,True,True
02_stress_pandoc/pandoc_features__case_24,True,True
02_stress_pandoc/pandoc_features__case_25,True,True
02_stress_pandoc/pandoc_features__case_26,True,True
02_stress_pandoc/pandoc_features__case_27,True,True
02_stress_pandoc/pandoc_features__case_28,True,True
02_stress_pandoc/pandoc_features__case_29,True,True
02_stress_pandoc/pandoc_features__case_30,True,True
03_stress_overlapping/overlapping__case_01,True,True
03_stress_overlapping/overlapping__case_02,True,True
03_stress_overlapping/overlapping__case_03,True,True
03_stress_overlapping/overlapping__case_04,True,True
03_stress_overlapping/overlapping__case_05,True,True
03_stress_overlapping/overlapping__case_06,True,True
03_stress_overlapping/overlapping__case_07,True,True
03_stress_overlapping/overlapping__case_08,True,True
03_stress_overlapping/overlapping__case_09,True,True
03_stress_overlapping/overlapping__case_10,True,True
03_stress_overlapping/overlapping__case_11,True,True
03_stress_overlapping/overlapping__case_12,True,True
03_stress_overlapping/overlapping__case_13,True,True
03_stress_overlapping/overlapping__case_14,True,True
03_stress_overlapping/overlapping__case_15,True,True
03_stress_overlapping/overlapping__case_16,True,True
03_stress_overlapping/overlapping__case_17,True,True
03_stress_overlapping/overlapping__case_18,True,True
03_stress_overlapping/overlapping__case_19,True,True
03_stress_overlapping/overlapping__case_20,True,True
03_stress_overlapping/overlapping__case_21,True,True
03_stress_overlapping/overlapping__case_22,True,True
03_stress_overlapping/overlapping__case_23,True,True
03_stress_overlapping/overlapping__case_24,True,True
03_stress_overlapping/overlapping__case_25,True,True
03_stress_overlapping/overlapping__case_26,True,True
03_stress_overlapping/overlapping__case_27,True,True
03_stress_overlapping/overlapping__case_28,True,True
03_stress_overlapping/overlapping__case_29,True,True
03_stress_overlapping/overlapping__case_30,True,True
04_stress_encoding/mixed_encoding__case_01,True,True
04_stress_encoding/mixed_encoding__case_02,True,True
04_stress_encoding/mixed_encoding__case_03,True,True
04_stress_encoding/mixed_encoding__case_04,True,True
04_stress_encoding/mixed_encoding__case_05,True,True
04_stress_encoding/mixed_encoding__case_06,True,True
04_stress_encoding/mixed_encoding__case_07,True,True
04_stress_encoding/mixed_encoding__case_08,True,True
04_stress_encoding/mixed_encoding__case_09,True,True
04_stress_encoding/mixed_encoding__case_10,True,True
04_stress_encoding/mixed_encoding__case_11,True,True
04_stress_encoding/mixed_encoding__case_12,True,True
04_stress_encoding/mixed_encoding__case_13,True,True
04_stress_encoding/mixed_encoding__case_14,True,True
04_stress_encoding/mixed_encoding__case_15,True,True
04_stress_encoding/mixed_encoding__case_16,True,True
04_stress_encoding/mixed_encoding__case_17,True,True
04_stress_encoding/mixed_encoding__case_18,True,True
04_stress_encoding/mixed_encoding__case_19,True,True
04_stress_encoding/mixed_encoding__case_20,True,True
04_stress_encoding/mixed_encoding__case_21,True,True
04_stress_encoding/mixed_encoding__case_22,True,True
04_stress_encoding/mixed_encoding__case_23,True,True
04_stress_encoding/mixed_encoding__case_24,True,True
04_stress_encoding/mixed_encoding__case_25,True,True
04_stress_encoding/mixed_encoding__case_26,True,True
04_stress_encoding/mixed_encoding__case_27,True,True
04_stress_encoding/mixed_encoding__case_28,True,True
04_stress_encoding/mixed_encoding__case_29,True,True
04_stress_encoding/mixed_encoding__case_30,True,True
05_stress_math/math_heavy__case_01,True,True
05_stress_math/math_heavy__case_02,True,True
05_stress_math/math_heavy__case_03,True,True
05_stress_math/math_heavy__case_04,True,True
05_stress_math/math_heavy__case_05,True,True
05_stress_math/math_heavy__case_06,True,True
05_stress_math/math_heavy__case_07,True,True
05_stress_math/math_heavy__case_08,True,True
05_stress_math/math_heavy__case_09,True,True
05_stress_math/math_heavy__case_10,True,True
05_stress_math/math_heavy__case_11,True,True
